tweet,class
   queer gaywad,1
  alsarabsss hes a beaner smh you can tell hes a mexican,1
  youre fucking gay blacklisted hoe holding out for tehgodclan anyway ,1
 lmfaoooo i hate black people  this is why theres black people and niggers,1
" at least im not a nigger 

lmfao",1
  ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo,1
 drakes new shoes that will be released by nikejordan.... yes theres glitter on the shoes  ....dudes a fag,1
 gerryshalloweenpa  halloween was yesterday stupid nigger,1
  is bored supposed to be cute you faggot sometimes,1
  lassen cc  the coach wants me i feel it youll get more my nig no doubt,1
 jackies a retard blondeproblems at least i can make a grilled cheese,1
 stacey dash won   baddest bitch evaaaa,1
dont worry about the nigga you see worry about the nigga you dont see... dats da nigga fuckin yo bitch.,1
hey go look at that video of the man that found the kidnapped girls in ohio........what a nigger  shitmybosssays,1
lets kill cracker babies. wtf did i just hear wow.,1
my grandma used to call me a porch monkey all the time... come to think of it she did refer to a broken bottle as a nigger knife ,1
nah its you   yo i thought some photoshopped my face on that faggot smmfh...i hate yall ,1
our people. now is the time for the aryan race  stand up and say no more. before the mongerls turn the world into a ghetto slum. ,1
these sour apple bitter bitches im not fuckin wit em,1
we hate niggers we hate faggots and we hate spicskkk rally,1
"were out here and were queer
    hut we like it in our butt",1
who the fuck you callin jiggaboo nigga,1
why people think gay marriage is okay is beyond me. sorry i dont want my future son seeing  fags walking down the street holding hands an,1
you aint gunna do shit spear chucker,1
"you ol trout mouth ass bitch 
deeeeaaaadd",1
ayo i even kill handicapped and crippled bitcheslook at my scalp real close and youll see triple sixes,1
fuck you you pussy ass hater go suck a dick and die quick  someone to me in youtube comments. i think wed be good friends.,1
on my way to fuck your bitch in the name of the lord  mr. race,1
poor whitey ,1
azmonsoon lot of rain too bad it wasnt enough to wash away the teabagger racist white trash in the state. tcot teapa azflooding,1
california is full of white trash,1
california is full of white trash who moved from oklahoma,1
dtla is trash because of noneuropeans are allowed to live there.,1
dutch farmers are white trash.,1
dutch people who live outside of newyorkcity are all white trash.,1
iowa is full of white trash,1
jesuschrist was straightgt thats why the faggots killed him. period sonofgodgt,1
minnesota is full of white trash,1
reasonswecantbetogether if u was talkin to my nig or smashed da homies,1
rebelscience ......is using an actual woman as a genetic engineering lab for all natural clones..... or something...... faggot rome,1
slightlyadjusted   alls niggers wanna do is fuck tweet and drink pineapple soda all day,1
somethingigetalot are you... asian black hawaiian gay retarded drunk,1
southcarolina is full of white trash,1
thingsiwillteachmychild how to play deez niggas n bitches dat be snakes,1
trayvonma referred to zimmerman as a creepy ass cracker. racist thug.,1
"tweetlikepontiacholmes
i do the pontiac sprinkler...

nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga",1
vinitahegwood can get a job at the naacp. or as the ag. i hear they like diversity and tolerance. as long as you aint a cracker tcot,1
virginia is full of white trash.,1
westvirginia is full of white trash.,1
faggots are merely a scientific indicator that something is wronggt do not celebrate as unique indiviuals for they are cancergt,1
firefighter is a job for white trash,1
milesthompson goauche wetback ca ,1
  racist all month .. fuck u honkey,1
   lmfao   if you watching porn amp beating off amp yo homie text u amp it show his name in the banner youre a faggot,1
 fucc nicca yu pose to be pullin up,1
 i just said that   my tl gotta chill with this pretty face challenge foolishness yall hoes agg,1
  them st  charlotte goon niccas gon fkkk around and burn bank of america stadium down,1
   they recruited buku fags in here...a warehouse is no place for them,1
lbum de fotos gaywrites in the making a project by and for queer students at harvard highlights the... ,1
 this is awkward u fag    wonder whos awesome tank that is ,1
 if u ask me every bitch gayor bi,1
 we agree... do you  fuck yes i do send those illegal wetbacks home,1
" hell ya they should make more malt liquor ads like this. 

 dis be heaven fo a colored man",1
 tea bag a bitch. pahahaha,1
 fucking white people  bitch wut,1
  you like  you needs to..... you a hoe. . im breaking .suck my dick.,1
 dudes shaving without it being for an athletic purpose is gay af youre retarded.,1
 when you live this gay you cant be afraid of two black dicks in your butt you fucking queer,1
 i love the song john doe dope   faggots,1
 just got done with my last final and im walkin around campus like i own this place queer.,1
 you dammn weed potheads are annoying af on twitter weed and pot are the same thing faggot,1
 who is she   yall hype that bread loaf chick up but im a chill a dyke rapper,1
 cowboys win games during the regular season but when they get to the playoffs that trash af lol hating ass nigga,1
" white kids favorite activities
. calling people niggers on xbox
.fucking their pet
. shooting up their school",1
  shut the fuck up you fucking trash nigga work on another ring ,1
"   damn they got wifey 

fall back nigga .. i dont share my hoes",1
 shoot that nigga and his sho bitch  ,1
 my phone charging backwards  retarded,1
